,Adgrl1
2017,4.0
2018,7.0
2019,0.0
2020,11.0
2021,12.0
2022,6.0
2023,6.0
2024,2.0
2025,8.0
2026,11.0
2027,4.0
2028,6.0
2029,13.0
2030,3.0
2031,9.0
2032,2.0
2033,1.0
2034,11.0
2035,3.0
2036,14.0
2037,0.0
2038,0.0
2039,0.0
2040,2.0
2041,17.0
2042,9.0
2043,8.0
2044,5.0
2045,8.0
2046,1.0
2047,6.0
2048,1.0
2049,3.0
2050,9.0
2051,1.0
2052,1.0
2053,13.0
2054,2.0
2055,2.0
2056,12.0
2057,1.0
2058,2.0
2059,5.0
2060,4.0
2061,5.0
2062,8.0
2063,11.0
2064,12.0
2065,3.0
2066,4.0
2067,4.0
2068,13.0
2069,5.0
2070,1.0
2071,8.0
2072,7.0
2073,4.0
2074,4.0
2075,6.0
2076,0.0
2077,0.0
2078,1.0
2079,5.0
2080,2.0
2081,23.0
2082,0.0
2083,14.0
2084,7.0
2085,11.0
2086,8.0
2087,10.0
2088,3.0
2089,7.0
2090,2.0
2091,0.0
2092,9.0
2093,0.0
2094,5.0
2095,9.0
2096,7.0
2097,10.0
2098,2.0
2099,11.0
2100,3.0
2101,12.0
2102,0.0
2103,0.0
2104,3.0
2105,13.0
2106,9.0
2107,0.0
2108,4.0
2109,4.0
2110,0.0
2111,8.0
2112,1.0
2113,0.0
2114,0.0
2115,2.0
2116,5.0
2117,11.0
2118,6.0
2119,2.0
2120,20.0
2121,8.0
2122,4.0
2123,2.0
2124,11.0
2125,9.0
2126,1.0
2127,0.0
2128,2.0
2129,2.0
2130,2.0
2131,14.0
2132,10.0
2133,1.0
